"","Country","1949","1950","1951","1952","1953","1954","1955","1956","1957","1958","1959","1960","1961","1962","1963","1964","1965","1966","1967","1968","1969","1970","1971","1972","1973","1974","1975","1976","1977","1978","1979","1980","1981","1982","1983","1984","1985","1986","1987","1988","1989","1990","1991","1992","1993","1994","1995","1996","1997","1998","1999","2000","2001","2002","2003","2004","2005","2006","2007","2008","2009","2010","2011","2012","2013","2014","2015","2016","2017","2018","2019","2020","2021"
"Algeria","Algeria",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5114855,3.4964539,3.4186352,3.5125936,3.0191004,2.6147279,2.3868674,2.1305392,2.087585,1.795844,1.688162,1.9576681,2.1310943,2.7017212,2.2419505,2.3752289,2.1386959,2.1020633,1.8180489,2.0630974,1.9512133,1.755124,1.6437069,1.7872137,1.8563763,1.7496987,1.5401238,1.4610706,1.2108341,2.1401321,2.5056316,3.14643,2.9350271,3.0940884,3.6374035,3.9656738,3.75508,3.4333856,3.8206955,3.7008294,3.2512109,3.2838845,2.8341784,2.6438075,2.923321,3.0247471,3.8485137,3.5180126,4.3257064,4.4610786,4.8445089,5.5484833,6.2702429,6.384929,5.9243833,5.4678244,6.021046,6.6599937,5.5925841
"Libya","Libya",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.592,1.8550725,3.1041667,2.4079422,1.84375,1.8571429,2.9149233,3.3609467,2.8559464,3.7628866,6.0729313,5.3226798,3.7096774,3.984862,3.2912696,2.2539683,1.9686163,2.4639944,3.7992264,3.2207494,2.9223644,1.7551138,2.2405258,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.0780267,5.2974415,3.7838602,3.1468637,2.4135079,2.0692385,2.0720481,2.0710745,1.5281112,1.1203354,0.9466775,1.4898511,NA,NA,NA,3.7456038,7.6393308,15.4795763,NA,NA,NA,NA,NA,NA,NA
"Morocco","Morocco",NA,NA,NA,NA,NA,NA,NA,1.1806543,1.7590028,2.1419829,2.4697337,2.3157316,2.7024336,2.5659134,3.1956155,2.8358687,2.4293313,2.6775701,2.6176471,3.0045722,2.3902168,2.3160062,2.6286249,2.8439153,3.0617978,3.1458333,4.6029129,6.220434,6.6197749,5.8368087,5.6334623,5.9400729,6.384594,6.2208683,4.5056586,4.0181909,5.3904352,4.3044596,4.3693148,4.1285158,4.3929174,4.148825,4.1428429,4.2980483,4.6555717,4.4938194,4.3474105,3.9490929,4.1926594,3.4563344,2.4207632,2.6851723,3.7261359,3.491788,3.4942075,3.2494676,3.2579968,3.1097963,3.0469537,3.1835014,3.2886518,3.3907961,3.2974952,3.4627501,3.8057829,3.6778564,3.2301533,3.2195264,3.1830412,3.1185876,3.099936,4.2810289,4.183513
"Tunisia","Tunisia",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.0047876,2.2159091,1.7296051,1.5080113,1.744186,1.2877186,1.3174748,1.4210526,1.4426846,1.3142351,1.5616728,1.475261,1.4145199,1.3984192,1.311539,1.7399793,1.8623901,2.3814955,2.4880229,2.238193,2.0287193,2.4810778,3.6919036,4.1672583,2.7553415,2.3355734,2.0866761,1.8231846,2.1034759,2.1145504,1.8394566,1.8337085,1.7061259,1.732114,1.7421232,1.7447076,1.8675352,1.7263845,1.6779715,1.5560758,1.547904,1.5211125,1.4926429,1.4838857,1.4259021,1.4516014,1.4463624,1.2609939,1.2906249,1.2949496,1.29665,1.5612733,1.5123425,1.641616,1.9081607,2.2698652,2.3608197,2.1443021,2.1133849,2.5645593,2.9077445,2.8289775
"Angola","Angola",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.715e-05,1.73e-05,22.25,21.9805,19.4323333,17.4636667,7.1025,5.6828305,17.5225891,5.7092807,4.7073928,2.4478482,5.9722682,2.6420119,17.3346922,6.3926032,4.5243538,2.8699324,3.7614791,3.4711802,3.6922409,3.7614953,3.1140545,3.5731204,4.70961,4.1775846,3.2556604,3.2366595,4.4552394,4.6984545,3.1054263,2.7333407,2.5079855,1.8717759,1.6437403,1.4441631,1.1320598
"Benin","Benin",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8715847,1.395288,1.751634,1.7368421,2.181699,2.1065089,1.9002326,1.9762521,2.0721248,1.8947368,1.6252815,1.601042,1.4877943,1.6775281,1.4423792,1.4929078,1.2816479,1.6787879,1.1943069,1.93046,2.0316514,1.5513713,1.0492986,1.1889707,1.4586989,1.3049319,1.3550965,1.5695985,1.5640912,1.3078961,1.2251571,NA,NA,NA,NA,NA,NA,NA,NA,0.4853892,0.4128523,0.3579711,0.6228195,0.6472232,0.6761499,0.6809707,0.6657233,NA,0.663959,NA,NA,NA,0.7020562,0.6872397,0.7009249,0.7984847,0.6735967,0.9206131,0.6328575,0.4729348,0.4706349,0.5606214
"Botswana","Botswana",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3565726,2.874909,3.5014994,3.2076205,2.9782981,2.6947439,2.3263377,2.4372708,2.1847315,2.6635958,4.7944146,4.899677,3.5690101,4.445158,4.6034699,4.482809,4.933492,4.0081204,3.5064797,2.8995215,3.1972046,3.7793988,3.0920738,3.191243,3.831223,4.1102065,4.0073666,3.505874,2.8580042,2.6951214,2.8014552,3.0369682,3.2155906,2.7268587,2.3666463,2.2667611,2.0563955,2.1308555,2.6602666,3.2877759,3.0058788,2.6760889,2.812261,3.2024098,2.8596404
"Burkina Faso","Burkina Faso",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6820175,0.8343685,2.3457031,2.3830571,2.6051587,1.5248227,1.6494845,1.3250729,1.178481,1.2467223,1.1722391,1.1771654,1.1398537,1.2351869,1.1519084,2.8111837,3.1238286,3.0432666,3.2831461,2.6986139,2.7466912,2.8426897,3.0033036,2.9321834,3.0171674,1.8365254,2.6218935,2.2525865,2.3108126,2.7407741,2.704893,2.1668693,2.0496516,1.8625299,1.4228847,1.3830427,1.2870885,1.417055,1.2763626,1.3855314,1.3921628,1.2997899,1.32441,1.2072833,1.3579684,1.3513945,1.2490867,1.5922676,1.3979038,1.5214547,1.3775163,1.2947595,1.3230237,1.3901028,1.4312855,1.4198152,1.3753624,1.5562732,2.1650417,2.6060375,2.7339538,2.8911338
"Burundi","Burundi",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.9437939,0.4347826,0.4456205,1.352337,1.3822879,1.3326069,1.4142233,1.7544914,NA,1.0324087,1.458671,1.9462123,2.2250828,2.0568071,2.2236012,2.5333817,2.7963737,2.6437153,2.9188034,3.0303302,3.5070249,3.1048089,2.9754008,2.7511726,2.8054132,2.6491399,3.1452451,3.3495221,3.4487125,3.7862709,3.5956379,3.7202758,3.9211112,4.2090729,5.8568849,6.359653,6.5722725,6.2576437,4.8624022,6.0717372,5.4416789,5.5334354,4.9032668,4.43619,3.5117185,3.4145952,2.7208905,NA,NA,NA,2.5271777,2.3676382,2.1190904,2.2018627,2.1156252,1.8706522,1.8821614,2.497152,1.979216,1.9228018
"Cameroon","Cameroon",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8721279,1.8426704,1.7628547,1.7606742,1.6919407,1.7275939,1.762325,1.7158501,1.6651172,1.6553637,1.5558177,1.8189156,1.9905191,1.8906841,1.7402191,1.3398357,1.2178235,1.2500255,1.2847962,1.3336892,1.4745666,1.5145517,1.5326056,1.3261246,1.3103401,1.2516448,1.2248379,1.3012417,1.3965094,1.4438524,1.3247489,1.29036,1.3385068,1.383807,1.4016038,1.2432208,1.3273775,1.3266064,1.3123391,1.3193401,1.3542566,1.1844351,1.2178466,1.2144146,1.149089,1.1444333,1.1875364,1.1737935,1.1115953,1.0867592,1.010443,1.0240893
